commit	stage	origin	layer	source	metric	mfu	correctness	compile_s	status	description
record	baseline				3107.5			0.0	keep	baseline (from HISTORY.tsv)
record	config				6450.4		87.5	0.0	keep	winning stage config — 2.076x (from HISTORY.tsv; full search trace on source box)
