T	n_chunks	dq_cos	dk_cos	dv_cos	dg_cos	dbeta_cos	max_err
128	2	1.000000	1.000000	1.000000	1.000000	1.000000	1.86e-05
256	4	1.000000	1.000000	1.000000	1.000000	1.000000	3.41e-05
