pass	model_slug	hf_id	family	configs_explored	best_speedup	wallclock_s	status
1	huggingfacetb-smollm3-3b	HuggingFaceTB/SmolLM3-3B	dense_causal_lm	1	-	11	ok
1	qwen-qwen3-0-6b	Qwen/Qwen3-0.6B	dense_causal_lm	1	26.587	10	ok
1	qwen-qwen3-1-7b	Qwen/Qwen3-1.7B	dense_causal_lm	1	17.239	10	ok
1	qwen-qwen3-4b	Qwen/Qwen3-4B	dense_causal_lm	1	14.104	10	ok
1	qwen-qwen2-5-0-5b-instruct	Qwen/Qwen2.5-0.5B-Instruct	dense_causal_lm	1	15.171	10	ok
1	qwen-qwen2-5-1-5b-instruct	Qwen/Qwen2.5-1.5B-Instruct	dense_causal_lm	1	-	11	ok
1	qwen-qwen2-5-3b-instruct	Qwen/Qwen2.5-3B-Instruct	dense_causal_lm	1	12.196	10	ok
1	google-gemma-2-2b	google/gemma-2-2b	dense_causal_lm	0	-	4	FAIL_NO_BASELINE
1	microsoft-phi-3-5-mini-instruct	microsoft/Phi-3.5-mini-instruct	dense_causal_lm	1	-	11	ok
1	huggingfacetb-smollm2-1-7b-instruct	HuggingFaceTB/SmolLM2-1.7B-Instruct	dense_causal_lm	1	-	11	ok
1	qwen-qwen3-14b	Qwen/Qwen3-14B	dense_causal_lm	1	-	22	ok
1	qwen-qwen3-32b	Qwen/Qwen3-32B	dense_causal_lm	1	-	26	ok
1	qwen-qwen2-5-14b-instruct	Qwen/Qwen2.5-14B-Instruct	dense_causal_lm	1	-	25	ok
1	google-gemma-2-9b	google/gemma-2-9b	dense_causal_lm	0	-	4	FAIL_NO_BASELINE
1	microsoft-phi-4	microsoft/phi-4	dense_causal_lm	1	0.000	23	ok
1	meta-llama-llama-3-2-1b	meta-llama/Llama-3.2-1B	dense_causal_lm	0	-	4	FAIL_NO_BASELINE
1	meta-llama-llama-3-2-3b	meta-llama/Llama-3.2-3B	dense_causal_lm	0	-	4	FAIL_NO_BASELINE
1	katuni4ka-tiny-random-qwen3moe	katuni4ka/tiny-random-qwen3moe	moe_causal_lm	1	-	11	ok
1	stabilityai-sd-turbo	stabilityai/sd-turbo	diffusion	1	-	58	ok
1	stabilityai-sdxl-turbo	stabilityai/sdxl-turbo	diffusion	1	0.000	116	ok
1	stabilityai-stable-diffusion-xl-base-1-0	stabilityai/stable-diffusion-xl-base-1.0	diffusion	1	-	126	ok
1	pixart-alpha-pixart-sigma-xl-2-512-ms	PixArt-alpha/PixArt-Sigma-XL-2-512-MS	diffusion	1	-	8	ok
1	black-forest-labs-flux-1-schnell	black-forest-labs/FLUX.1-schnell	diffusion	1	0.000	8	ok
1	openai-community-gpt2	openai-community/gpt2	dense_causal_lm	83	12.794	1955	ok
